,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
186,Firangi Bake,3.9,30,"Pizzas, Pastas, Italian, Mexican, Healthy Food, Desserts, Beverages",Kandivali East,0,0
187,Apsara Ice Creams,4.7,14,"Ice Cream, Desserts",Kandivali East,0,0
188,Great Indian Khichdi by EatFit,4.3,37,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, South Indian, Maharashtrian, Sweets",Gorai Road,159,0
189,Wendy's,4.2,49,"Burgers, American, Fast Food, Snacks, Beverages",Jog Gor East,129,0
190,Keventers - Milkshakes & Desserts,4.2,29,"Beverages, Ice Cream, Desserts, Healthy Food",Kandivali West,120,20
191,Green Therapy Co.,4.5,38,"Healthy Food, Juices, Beverages",Malad Kan East,100,50
192,FreshMenu,4.1,49,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts",Goregaon East,129,0
193,Lucky Restaurant (Since 1938),4.1,40,"Biryani, North Indian, Chinese, Mughlai, Seafood, Desserts, Tandoor, Punjabi, Indian",Goregaon East,749,0
194,The Paratha House,4.1,47,"North Indian, Indian",Malad Kan East,100,50
195,Rabdi Wala,4.2,37,"Desserts, Gujarati, Rajasthani, Snacks",Borivali West,0,0
196,Ladu Samrat,4.3,43,"Maharashtrian, Snacks, Street Food, Indian, Desserts, Chaat",Kandivali East,1,0
197,Greens Restaurant,4.4,54,"North Indian, Chinese, South Indian",Malad West,599,0
198,Chocolateria San Churro,2.2,39,Desserts,Borivali,449,0
199,The Churro Co.,4.1,38,"Desserts, Beverages, Waffle",Kandivali East,999,0
200,The Dough Therapy,4.1,39,"Pizzas, Pastas, Italian",Kandivali West,799,0
201,Barbeque Nation,4.3,45,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",Kandivali East,80,40
202,Aromas Cafe & Bistro,4.2,50,"Continental, Italian, Lebanese, Beverages",Malad Kan East,249,0
203,Chai Pe Charcha,4.3,40,Beverages,Kandivali West,100,20
204,Cremure,4.5,38,"Bakery, Desserts, Waffle, Beverages",Malad West,449,0
205,EatFit,4.2,39,"Chinese, Healthy Food, Tandoor, Pizzas, North Indian, Thalis, Biryani",Gorai Road,179,0
206,Biryani Can - Pure Veg Biryanis,3.9,37,Biryani,Kandivali West,599,0
207,Cheelizza - India ka Pizza,4.2,39,"Pizzas, Italian, Fast Food",Kandivali West,699,0
208,Bake Ur Day - Freshest Cakes,3.7,39,"Desserts, Bakery, Cakes and Pastries, Beverages",Borivali West,449,0
209,Radha Krishna,3.8,38,Indian,Borivali,0,0
210,Amar Juice Center,4.4,37,"Street Food, Beverages, South Indian",Borivali West,0,0
211,MM Mithaiwala,4.4,42,"Sweets, Snacks, Desserts, Beverages",Malad West,800,15
212,Haldiram's Restaurant,4.3,38,"Snacks, South Indian, Desserts, Beverages",Malad Kan East,100,50
213,Taco Bell,4.3,49,Mexican,Kandivali East,100,50
214,Wow! Momo,4.1,45,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",Malad East,599,0
215,Bangalore Iyangar's Bakery,4.9,47,"Bakery, Desserts, Snacks",Kandivali West,0,0
216,Dum Safar Biryani by Barbeque Nation,4.3,48,"Biryani, Kebabs, Tandoor, Indian, Desserts",GROWELS MALL,80,40
217,Wow! China,4.1,43,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",Akruli Road,120,60
218,Malgudi,4.1,37,"South Indian, Mangalorean, Andhra, Snacks, Healthy Food",Kandivali East,249,0
219,Oye Kiddan,3.9,43,North Indian,Borivali West,449,0
220,Sbarro - New York Pizza,3.9,38,"Italian, Pizzas, Desserts, Beverages",Kandivali East,299,0
221,Cookie Man,4.4,37,"Desserts, Ice Cream, Bakery",Kandivali East,80,40
222,Pop Tate's,4.2,37,"Continental, Italian, European, Mexican",Kandivali East,50,20
223,Shiv Sagar,4.3,38,"Indian, Continental, Chinese",Mahavir Nagar,600,10
224,Urban Tadka,4.3,43,"North Indian, Mughlai",Kandivali East,50,20
225,Uncle's Kitchen (Since 1987),4.4,42,"Chinese, Asian, Thai",Malad West,1000,15
226,Bikaji Food Junxon,4.6,46,"Sweets, Snacks",Malad West,999,0
227,Rajubhai Dhoklawala,4.5,40,"Sweets, Desserts, Gujarati, Snacks",Borivali,0,0
228,Deepak (Borivali),4.5,38,"Indian, Chinese, South Indian, Snacks",Borivali West,0,0
229,Godwa,4.4,39,"American, Beverages, Thalis",Malad Borivali Area,600,10
230,Radha Krishna (Borivali),4.4,39,"Indian, Chinese, South Indian, Mexican, Italian",Borivali West,0,0
231,Tulsi Vihar,4.2,42,"North Indian, Chinese, South Indian, Beverages",Kandivali West,999,0
232,Smokin Curries,4.2,54,"Biryani, Indian, North Indian, Tandoor, Kebabs, Fast Food, Desserts, Beverages",Malad Kan West,0,0
233,The Food Studio Kitchen & Bar,4.4,56,"North Indian, Continental, Asian, Punjabi, Chinese, Italian, Mughlai",Malad West,0,0
234,Bhavesh Chinese,4.2,43,"Chinese, Indian",Borivali West,0,0
235,Spukies - The Veg Sigree,4.3,46,"North Indian, Jain, Chinese, South Indian",Mumbai,0,0
236,Agri Malhari Katta,4.3,50,"Indian, Chinese",Borivali,0,0
237,Zaika Fun Dining | Club Aquaria,4.3,44,"North Indian, Chinese, Biryani, Continental",Borivali West,449,0
238,Pishu's - Drink Your Fruit,4.4,55,"Juices, Beverages, Healthy Food",Malad West,399,0
239,Madhuram Sweets & Chaat,4.6,46,Desserts,Dahisar,999,0
240,Cosway,4.1,51,"Chinese, North Indian, Indian",PG Road,449,0
241,Kansar Pure Veg Thali,4.1,44,Thalis,Chikoowadi,800,15
242,Jain SubKuchh Food Plaza,4.3,52,"Street Food, North Indian, Chinese, Desserts, South Indian",Malad West,449,0
243,Pangat (Gorai),4.4,40,"Indian, Chinese, Malwani, Seafood, Kebabs, Biryani, Maharashtrian",Borivali West,0,0
244,Shenoy's,4.1,48,"Fast Food, Snacks, Chinese, Chaat",Jog Gor East,0,0
245,Surmai Restaurant,4.3,47,"Seafood, Indian, Chinese",Malad West,449,0
246,Qutuz Irani Cafe,4.3,51,Fast Food,Chincholi Bunder Road,0,0
247,Anda Apna Apna,4.5,52,Fast Food,Malad West,449,0
248,Shreeji Pure Veg,4.5,49,"Indian, South Indian, Chinese, Desserts, Beverages",Jog Gor East,0,0
249,Sai Veg World,4.3,50,"Indian, Chinese",Goregaon East,449,0
250,Baba Falooda,4.5,40,Desserts,Mira Road,0,0
251,Persia Darbar,4.3,44,"North Indian, Biryani, Chinese, Arabian, Mughlai",Goregaon East,799,0
252,CakeZone,4.2,37,"Bakery, Desserts, Sweets, Ice Cream",L T Road Junction,399,0
253,Bikkgane Biryani,4.1,54,"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs",Malad Kan West,449,0
254,Chai Point,4.3,52,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Chaat, Indian, American, North Indian, Fast Food, Desserts, Cafe, Healthy Food, Home Food",Malad West,125,25
255,Biryani By Kilo,4.1,70,"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts",Malad West,1999,0
256,Curry Mantra,4.3,39,"Indian, Chinese, Tandoor, Biryani, Mangalorean, Malwani, Kerala, Goan, Chettinad, Mughlai, Seafood",Dahisar,0,0
257,Oye Teri - The Kulcha Kulture,4.2,39,Indian,Borivali,0,0
258,Noorani Restaurant,4.1,39,"Chinese, North Indian",Malad East,599,0
259,Cheesecake & Co.,4.2,40,"Bakery, Desserts",Jog Gor East,399,0
260,Smoor,4.3,39,"Desserts, Bakery, Beverages",I C Colony,899,0
261,HRX by EatFit,4.4,38,"Healthy Food, Salads, Keto",Gorai Road,199,0
263,Gomantak,4.2,53,"Indian, Seafood, Tandoor, Malwani, Chinese",Dahisar,125,25
264,Cafe Heaven,4.1,44,"Mughlai, Chinese, Tandoor, Indian",Malad West,599,0
265,Landmark Restaurant Veg Diet,4.1,50,"North Indian, Chinese, Continental, Beverages",Malad Kan West,0,0
266,Supermani,4.5,47,"South Indian, Biryani, Fast Food, Snacks",Borivali,0,0
267,Aahar-E-Kolkata,4.2,55,"Bengali, Thalis, Biryani, Desserts",Malad Kan East,0,0
268,Suraj Lama Momos,4.6,55,Chinese,Jog Gor East,0,0
269,Charcoal Bistro,3.5,44,"Indian, Chinese",Jog Gor East,0,0
270,The Tiny Tub,4.3,44,"Desserts, Bakery, Sweets, Snacks, Cafe",Malad Kan West,749,0
